,Parch,Sex
0,0,male
1,0,female
2,0,male
3,0,male
4,1,female
5,0,male
6,0,female
7,1,male
8,0,female
9,0,male
10,0,male
11,0,male
12,0,female
13,0,male
14,0,female
15,0,female
16,0,male
17,0,male
18,0,female
19,0,female
20,0,male
21,1,male
22,0,female
23,1,male
24,3,female
25,0,male
26,1,female
27,0,male
28,0,male
29,0,male
30,0,male
31,0,male
32,2,female
33,2,female
34,0,male
35,0,male
36,0,female
37,0,female
38,0,male
39,0,male
40,1,male
41,0,male
42,0,male
43,0,female
44,0,female
45,0,male
46,0,male
47,0,male
48,0,female
49,2,female
50,0,male
51,0,male
52,1,female
53,2,female
54,0,male
55,1,male
56,0,male
57,0,male
58,0,male
59,0,female
60,0,male
61,0,male
62,0,male
63,0,female
64,2,male
65,0,female
66,0,female
67,0,male
68,0,male
69,4,female
70,0,female
71,0,male
72,0,female
73,0,male
74,0,female
75,0,male
76,0,male
77,0,female
78,0,male
79,0,female
80,1,male
81,0,male
82,0,male
83,0,male
84,0,male
85,0,male
86,0,female
87,0,female
88,0,female
89,1,male
90,0,female
91,0,male
92,2,female
93,0,male
94,0,male
95,0,male
96,0,female
97,0,male
98,0,female
99,0,male
100,0,female
101,0,male
102,0,male
103,0,male
104,1,female
105,0,male
106,0,male
107,0,male
108,0,male
109,0,male
110,0,male
111,0,female
112,0,female
113,0,female
114,0,female
115,0,male
116,0,male
117,1,female
118,0,male
119,0,female
120,0,female
121,0,male
122,0,female
123,0,male
124,0,male
125,1,female
126,0,male
127,0,female
128,0,male
129,0,male
130,0,male
131,0,male
132,4,female
133,0,male
134,0,male
135,0,male
136,0,male
137,0,male
138,0,female
139,6,male
140,2,female
141,0,female
142,3,male
143,0,male
144,0,male
145,0,male
146,0,male
147,0,male
148,0,male
149,1,male
150,1,female
151,0,male
152,0,male
153,2,female
154,2,male
155,0,male
156,0,female
157,0,female
158,0,male
159,2,female
160,0,female
161,1,male
162,0,female
163,0,male
164,0,male
165,1,female
166,0,male
167,2,male
168,0,female
169,0,female
170,0,male
171,0,male
172,0,male
173,0,male
174,5,male
175,2,female
176,0,female
177,0,male
178,3,female
179,2,female
180,0,male
181,1,male
182,0,female
183,0,male
184,1,female
185,0,male
186,1,female
187,0,male
188,2,female
189,0,male
190,0,male
191,0,male
192,1,male
193,0,male
194,2,male
195,0,male
196,2,male
197,0,female
198,0,male
199,0,female
200,0,female
201,2,male
202,0,male
203,1,female
204,0,male
205,0,male
206,0,female
207,0,male
208,0,female
209,0,male
210,0,male
211,0,male
212,0,male
213,0,female
214,2,female
215,0,male
216,0,female
217,1,male
218,1,female
219,0,male
220,0,female
221,0,male
222,0,female
223,0,male
224,0,female
225,2,female
226,0,male
227,0,female
228,0,male
229,0,male
230,0,male
231,0,female
232,0,male
233,0,male
234,0,male
235,0,male
236,0,male
237,0,male
238,1,female
239,0,female
240,0,female
241,2,female
242,1,male
243,0,male
244,2,male
245,0,male
246,0,female
247,1,male
248,0,female
249,0,female
250,2,female
251,0,male
252,0,male
253,0,male
254,0,male
255,0,male
256,0,male
257,0,male
258,0,female
259,0,male
260,0,male
261,0,male
262,2,female
263,1,female
264,0,male
265,0,male
266,0,male
267,0,male
268,0,female
269,0,male
270,0,male
271,0,male
272,0,female
273,0,female
274,0,male
275,0,female
276,0,male
277,0,male
278,0,male
279,0,male
280,0,female
281,1,male
282,0,female
283,1,female
284,1,female
285,0,male
286,0,male
287,0,male
288,0,male
289,0,male
290,0,male
291,0,female
292,0,male
293,1,male
294,0,male
295,0,male
296,2,female
297,0,male
298,0,male
299,0,male
300,0,male
301,0,male
302,1,male
303,0,male
304,0,female
305,1,female
306,2,male
307,1,male
308,1,male
309,0,female
310,0,male
311,0,male
312,0,male
313,0,female
314,0,female
315,0,female
316,0,male
317,0,male
318,0,male
319,0,male
320,0,male
321,0,male
322,0,male
323,0,male
324,0,female
325,0,male
326,1,female
327,0,male
328,0,male
329,0,male
330,2,female
331,0,male
332,0,male
333,1,female
334,0,male
335,0,male
336,0,male
337,2,male
338,0,male
339,0,male
340,0,male
341,0,male
342,9,male
343,1,female
344,1,male
345,0,female
346,0,male
347,0,female
348,0,male
349,0,female
350,1,female
351,0,male
352,0,male
353,2,male
354,2,female
355,0,male
356,0,female
357,0,male
358,0,male
359,0,female
360,2,male
361,1,female
362,0,female
363,0,male
364,0,female
365,9,female
366,0,male
367,0,female
368,1,female
369,0,male
370,0,male
371,0,female
372,0,male
373,0,male
374,1,female
375,0,female
376,0,female
377,0,male
378,0,male
379,2,male
380,0,male
381,0,male
382,0,female
383,0,female
384,0,male
385,2,female
386,0,male
387,0,male
388,0,male
389,1,male
390,0,male
391,1,female
392,2,male
393,0,male
394,1,male
395,0,female
396,0,male
397,1,female
398,0,male
399,0,male
400,0,female
401,0,male
402,1,female
403,0,male
404,0,male
405,0,male
406,0,male
407,1,male
408,0,female
409,1,female
410,0,female
411,0,female
412,0,female
413,0,male
414,0,female
415,0,male
416,0,male
417,1,male
